name,mountains,elevation,type,coordinates
Barbeau Peak,British Empire Range,2616,,"(81.9,-75.0)"
Treuter Mt.,,1920,,"(75.3,-82.8)"
Mt. Odin,Penny Highlands,2147,,"(66.55,-65.6)"
Makushin,,2036,volcano,"(53.9,-166.9)"
Shishaldin,,2857,volcano,"(54.75,-163.97)"
Mt. Isto,Brooks Range,2736,,"(69.2,-143.8)"
Mt. Redoubt,Aleutian Range,3108,volcano,"(60.5,-152.75)"
Denali,Alaska Range,6193,,"(63.1,-151)"
Mt. Blackburn,Wrangell Mountains,4996,volcano,"(61.7,-143.4)"
Mt. Bona,Elias Range,5005,,"(61.4,-141.75)"
Mt. St.Elias,Elias Range,5489,,"(60.3,-140.9)"
Mt. Logan,Elias Range,5959,,"(60.6,-140.4)"
Mt. Fairweather,Elias Range,4663,,"(58.9,-137.5)"
Birch Mountain,,2062,,"(59.43,-133.82)"
Mt. Ratz,Alaska Boundary Range,3090,,"(57.4,-132.3)"
Mt. Ulysses,Rocky Mountains,3024,,"(57.34,-124.1)"
Mt. Waddington,Pacific Ranges,4019,,"(51.4,-125.26)"
Mt. Robson,Rocky Mountains,3954,,"(52.3,-119.1)"
Mt. Columbia,Rocky Mountains,3747,,"(52.15,-117.44)"
Mt. Assiniboine,Rocky Mountains,3618,,"(50.86,-115.65)"
Golden Hinde,,2195,,"(49.66,-125.74)"
Granite Peak,Rocky Mountains,3901,,"(45,-109.5)"
Borah Peak,Rocky Mountains,3859,,"(44.1,-113.8)"
Harney Peak,Rocky Mountains,2207,,"(44,-103.4)"
Gannett Peak,Rocky Mountains,4207,,"(43.2,-110)"
Kings Peak,Rocky Mountains,4123,,"(40.5,-110.4)"
Mt. Elbert,Rocky Mountains,4401,,"(39.1,-106.4)"
Pikes Peak,Rocky Mountains,4302,,"(38.8,-105)"
Wheeler Peak,Rocky Mountains,4011,,"(36.55,-105.4)"
Humphreys Peak,San Francisco Peaks,3850,volcanic,"(35.3,-111.65)"
Guadalupe Peak,Rocky Mountains,2667,,"(31.9,-104.85)"
Mt. Rainier,Cascade Range,4392,volcano,"(46.85,-121.75)"
Mt. Adams,Cascade Range,3743,volcano,"(46.2,-121.5)"
Mt. Hood,Cascade Range,3424,volcano,"(45.2,-121.5)"
Mt. Mazama Caldera,Cascade Range,2487,volcanic,"(42.91,-122.08)"
Mt. Whitney,Sierra Nevada California,4418,,"(36.6,-118.2)"
Boundary Peak,Sierra Nevada California,4006,,"(37.9,-118.3)"
San Jacinto Peak,Peninsular Ranges,3302,,"(33.8,-116.67)"
Mt. Babel,,952,,"(51.45,-68.7)"
Mt. Washington,Appalachian Mountains,1917,,"(44.3,-71.3)"
Mt. Caubvick,,1652,,"(58.9,-63.7)"
Mt. Marcy,Adirondacks,1629,,"(44.1,-73.9)"
Mt. Mitchell,Appalachian Mountains,2037,,"(35.4,-82.1)"
Clingmans Dome,Appalachian Mountains,2025,,"(35.3,-83.2)"
Cerro Mohinora,Sierra Madre Occidental,3308,volcanic,"(25.95,-107.05)"
Cerro San Rafael,Sierra Madre Oriental,3751,,"(25.35,-100.55)"
Nevado de Colima,Sierra Volcanica Transversal,4330,volcano,"(19.5,-103.6)"
Iztaccihuatl,Sierra Volcanica Transversal,5230,volcanic,"(19.2,-98.6)"
Nevado de Toluca,Sierra Volcanica Transversal,4690,volcano,"(19.1,-99.75)"
Citlaltepetl (Pico de Orizaba),Sierra Volcanica Transversal,5636,volcano,"(19.0,-97.3)"
Popocatepetl,Sierra Volcanica Transversal,5462,volcano,"(19.0,-98.6)"
Cerro el Nacimiento,Sierra Madre del Sur,3703,,"(17.55,-100.3)"
Tajumulco,Sierra Madre de Chiapas,4220,volcanic,"(15.0,-91.9)"
Santa María,Sierra Madre de Chiapas,3772,volcano,"(14.76,-91.55)"
Santa Ana,Cordillera de Apaneca,2381,volcano,"(13.85,-89.63)"
El Pital,Sierra Madre de Chiapas,2730,,"(14.38,-89.12)"
Cerro Las Minas,,2870,volcano,"(14.53,-88.68)"
Pico Mogotón,,2107,volcano,"(13.77,-86.38)"
Concepcion,,1700,volcano,"(11.5,-85.6)"
Irazu,Cordillera de Talamanca,3432,volcano,"(10,-83.9)"
Cerro Chirripo,Cordillera de Talamanca,3819,volcanic,"(9.5,-83.5)"
Baru,,3475,volcano,"(8.81,-82.54)"
Pico Turquino,Sierra Maestra,1974,,"(20,-76.8)"
Blue Mountain Peak,,2256,,"(18.1,-76.4)"
Pic la Selle,,2674,,"(18.37,-71.98)"
Pico Duarte,,3098,,"(18.3,-71.3)"
Cerro de Punta,,1338,,"(18.2,-66.6)"
Liamuiga,,1156,volcano,"(17.37,-62.80)"
Nevis Peak,,985,volcano,"(17.15,-62.58)"
Soufriere Hills,,1050,volcano,"(16.7,-62.2)"
La Soufriere,,1467,volcano,"(16.05,-61.65)"
Soufriere,,1220,volcano,"(13.35,-61.2)"
Morne Diablotins,,1447,volcano,"(15.5,-61.4)"
Pelee,,1397,volcano,"(14.8,-61.15)"
Pico Cristobal Colon,Sierra Nevada de Santa Marta,5775,,"(10.85,-73.7)"
Pico Bolivar,Cordillera Oriental,4981,,"(8.6,-71.0)"
Pico Naiguatá,Venezuelan Coastal Range,2765,,"(10.55,-66.8)"
Cerro Tristeza,,2596,,"(10.1,-63.95)"
Ritacuba Blanco,Cordillera Oriental,5410,,"(6.5,-72.3)"
Nevado del Ruiz,Cordillera Occidental,5389,volcano,"(4.9,-75.3)"
Nevado del Huila,Cordillera Occidental,5750,volcano,"(2.9,-76.0)"
Wolf,,1707,volcano,"(0.3,-91.23)"
Cayambe,Cordillera Occidental,5796,volcano,"(0.1,-78)"
Cotopaxi,Cordillera Occidental,5897,volcano,"(-0.7,-78.4)"
Chimborazo,Cordillera Occidental,6287,volcano,"(-1.2,-78.5)"
Pico Rocarre,Cordillera Negra,5187,,"(-8.8,-78)"
Alpamayo,Cordillera Blanca,5947,,"(-8.9,-77.7)"
Huascaran,Cordillera Blanca,6768,,"(-9.1,-77.6)"
Yerupaja,Cordillera Blanca,6635,,"(-10.3,-76.9)"
Ausangate,Cordillera Vilcanota,6336,,"(-13.8,-71.2)"
Coropuna,Cordillera Volcanica,6425,volcano,"(-15.5,-72.65)"
Ampato,Cordillera Volcanica,6288,volcano,"(-15.8,-71.9)"
Pacha Mama,,4138,,"(-15.66,-69.71)"
Illampu,Cordillera Real,6368,granite,"(-15.8,-68.5)"
Illimani,Cordillera Real,6439,granite,"(-16.65,-67.8)"
Sajama,Cordillera Volcanica,6542,volcano,"(-18.1,-68.9)"
Alto Toroni,Cordillera Volcanica,5982,volcanic,"(-19.75,-68.7)"
Ollagüe,Cordillera Volcanica,5870,volcano,"(-21.3,-68.2)"
Uturuncu,Cordillera de Lípez,6008,volcanic,"(-22.27,-67.18)"
Zapaleri,Cordillera de Lípez,5653,volcanic,"(-22.8,-67.2)"
Licancabur,Andes,5920,volcano,"(-22.8,-67.9)"
Llullaillaco,Andes,6739,volcano,"(-24.7,-68.5)"
Ojos del Salado,Andes,6893,volcano,"(-27.1,-68.5)"
Monte Pissis,Andes,6795,volcanic,"(-27.8,-68.85)"
Nevado de Famatina,Sierras Pampeanas,6250,,"(-29.0,-67.85)"
Aconcagua,Andes,6962,,"(-32.65,-70.0)"
Nevado El Plomo,Andes,6070,,"(-33.1,-70.06)"
Tupungato,Andes,6550,volcano,"(-33.35,-69.87)"
Marmolejo,Andes,6108,volcanic,"(-33.75,-69.87)"
Maipo,Andes,5264,volcano,"(-34.15,-69.83)"
Descabezo Grande,Andes,3953,volcano,"(-35.6,-70.75)"
Callaqui,Andes,3164,volcano,"(-37.9,-71.45)"
Llaima,Andes,3145,volcano,"(-38.7,-71.7)"
Villarrica,Andes,2840,volcano,"(-39.4,-71.9)"
Lanín,Andes,3747,volcanic,"(-39.6,-71.5)"
Tronador,Andes,3491,volcanic,"(-41.05,-71.9)"
Monte San Valentin,Andes,4058,,"(-46.6,-73.35)"
Cerro Torre,Andes,3128,,"(-49.3,-73.1)"
Cerro Fitzroy,Andes,3406,,"(-49.27,-73.04)"
Monte Darwin,Andes,2488,,"(-54.75,-69.5)"
Pico da Neblina,Guiana Shield,2994,,"(0.8,-66.0)"
Pico das Agulhas Negras,Brazilian Highlands,2791,,"(-22.4,-44.65)"
Pico da Bandeira,Brazilian Highlands,2892,,"(-20.44,-41.8)"
Pico Maior de Friburgo,Serra do Mar,2316,,"(-22.35,-42.6)"
Pao de Acucar,,395,,"(-22.949,-43.15)"
Corcovado,,710,,"(-22.951,-43.2)"
